feature_set,xi,tau,n_clusters,n_noise,coverage,runtime_sec,silhouette,davies_bouldin,calinski_harabasz,quality_score
frequency|return_rate|weekend_ratio|repeat_category_rate,14,0.18,8,365,0.882,0.01,0.1023,1.6518,538.8,-0.05934399999999998
frequency|return_rate|weekend_ratio|repeat_category_rate,14,0.2,7,507,0.836,0.01,0.2191,1.5908,590.5,0.05083599999999999
frequency|return_rate|weekend_ratio|repeat_category_rate,16,0.06,14,28,0.991,0.09,-0.0386,2.2265,226.1,-0.31897000000000003
frequency|return_rate|weekend_ratio|repeat_category_rate,16,0.08,12,74,0.976,0.03,0.0115,3.3381,261.1,-0.31154800000000005
frequency|return_rate|weekend_ratio|repeat_category_rate,16,0.1,10,108,0.965,0.01,0.0636,2.9421,354.1,-0.180518
frequency|return_rate|weekend_ratio|repeat_category_rate,16,0.12,9,276,0.911,0.06,0.0718,3.5992,450.9,-0.23838600000000001
frequency|return_rate|weekend_ratio|repeat_category_rate,16,0.14,8,276,0.911,0.01,0.095,1.765,484.3,-0.06844999999999998
frequency|return_rate|weekend_ratio|repeat_category_rate,16,0.16,8,415,0.866,0.02,0.1037,1.6446,536.9,-0.06136800000000002
frequency|return_rate|weekend_ratio|repeat_category_rate,16,0.18,8,560,0.819,0.01,0.1107,1.6388,541.2,-0.065654
frequency|return_rate|weekend_ratio|repeat_category_rate,16,0.2,6,707,0.772,0.01,0.2556,1.3234,681.3,0.092728
frequency|monetary|avg_basket|return_rate|weekend_ratio,8,0.06,32,0,1.0,0.81,-0.1264,3.5546,153.6,-0.9607680000000001
frequency|monetary|avg_basket|return_rate|weekend_ratio,8,0.08,29,0,1.0,0.21,-0.1524,5.0768,150.0,-1.033544
frequency|monetary|avg_basket|return_rate|weekend_ratio,8,0.1,25,7,0.998,0.12,-0.0454,4.4145,196.2,-0.77406
frequency|monetary|avg_basket|return_rate|weekend_ratio,8,0.12,20,20,0.994,0.16,0.0162,3.2863,235.0,-0.49820400000000004
frequency|monetary|avg_basket|return_rate|weekend_ratio,8,0.14,17,68,0.978,0.03,-0.0198,2.2315,270.8,-0.37882000000000005
frequency|monetary|avg_basket|return_rate|weekend_ratio,8,0.16,15,74,0.976,0.1,-0.0356,2.2279,267.0,-0.344832
frequency|monetary|avg_basket|return_rate|weekend_ratio,8,0.18,12,107,0.965,0.09,0.0453,2.5309,274.2,-0.215922
frequency|monetary|avg_basket|return_rate|weekend_ratio,8,0.2,11,107,0.965,0.01,0.0858,3.4673,397.1,-0.22533400000000003
frequency|monetary|avg_basket|return_rate|weekend_ratio,10,0.06,30,0,1.0,0.32,-0.0653,4.0348,192.6,-0.888084
frequency|monetary|avg_basket|return_rate|weekend_ratio,10,0.08,19,1,1.0,0.07,0.0491,2.7473,290.4,-0.39568400000000004
frequency|monetary|avg_basket|return_rate|weekend_ratio,10,0.1,19,53,0.983,0.03,-0.0275,4.1178,201.8,-0.586174
frequency|monetary|avg_basket|return_rate|weekend_ratio,10,0.12,19,56,0.982,0.13,-0.0632,5.0294,207.4,-0.695052
frequency|monetary|avg_basket|return_rate|weekend_ratio,10,0.14,16,128,0.959,0.03,0.0405,4.2674,267.1,-0.46114200000000005
frequency|monetary|avg_basket|return_rate|weekend_ratio,10,0.16,11,154,0.95,0.02,0.0551,3.4598,338.8,-0.259184
frequency|monetary|avg_basket|return_rate|weekend_ratio,10,0.18,9,234,0.925,0.02,0.1412,1.7625,484.4,-0.018549999999999983
frequency|monetary|avg_basket|return_rate|weekend_ratio,10,0.2,9,331,0.893,0.03,0.1446,1.7756,505.7,-0.024197999999999997
frequency|monetary|avg_basket|return_rate|weekend_ratio,12,0.06,26,2,0.999,0.27,-0.1048,3.6411,174.9,-0.796338
frequency|monetary|avg_basket|return_rate|weekend_ratio,12,0.08,21,16,0.995,0.07,-0.0114,2.1992,211.8,-0.46358600000000005
frequency|monetary|avg_basket|return_rate|weekend_ratio,12,0.1,15,65,0.979,0.07,0.0125,2.5537,292.1,-0.322046
frequency|monetary|avg_basket|return_rate|weekend_ratio,12,0.12,13,82,0.974,0.02,-0.0339,2.029,215.4,-0.27772
frequency|monetary|avg_basket|return_rate|weekend_ratio,12,0.14,12,189,0.939,0.02,-0.0235,2.8481,241.9,-0.31659800000000005
frequency|monetary|avg_basket|return_rate|weekend_ratio,12,0.16,10,265,0.915,0.04,0.081,1.9228,365.4,-0.094074
frequency|monetary|avg_basket|return_rate|weekend_ratio,12,0.18,9,421,0.864,0.01,0.084,1.7732,415.6,-0.09185600000000001
frequency|monetary|avg_basket|return_rate|weekend_ratio,12,0.2,7,540,0.826,0.01,0.2093,1.5677,484.4,0.040384
frequency|monetary|avg_basket|return_rate|weekend_ratio,14,0.06,23,5,0.998,0.24,-0.0682,2.1325,196.1,-0.5643
frequency|monetary|avg_basket|return_rate|weekend_ratio,14,0.08,14,107,0.965,0.03,0.0367,1.9002,309.7,-0.224066
frequency|monetary|avg_basket|return_rate|weekend_ratio,14,0.1,13,123,0.96,0.02,0.0433,2.4528,291.1,-0.237924
frequency|monetary|avg_basket|return_rate|weekend_ratio,14,0.12,10,246,0.921,0.02,0.0738,3.7048,398.3,-0.24233400000000002
frequency|monetary|avg_basket|return_rate|weekend_ratio,14,0.14,9,330,0.894,0.01,0.117,1.8115,478.9,-0.05442000000000001
frequency|monetary|avg_basket|return_rate|weekend_ratio,14,0.16,8,546,0.824,0.01,0.0921,1.7276,456.0,-0.09010800000000001
frequency|monetary|avg_basket|return_rate|weekend_ratio,14,0.18,7,674,0.783,0.01,0.1234,1.4142,511.8,-0.043986
frequency|monetary|avg_basket|return_rate|weekend_ratio,14,0.2,6,674,0.783,0.01,0.226,1.3389,557.0,0.06463800000000001
